,Comments,Quality,Difficulty,Dates,TeacherID
47,No Comments,2.5,3.0,"Feb 19th, 2002",33700
48,"Fantastic lecturer. Used to be a journalist for the Economist, really knows his stuff.",4.5,4.0,"May 22nd, 2012",311532
49,"Gary Bass is the best lecturer/informational speaker I have ever heard, bar none. He is a supremely talented orator with extensive expertise in his subject matter. I would encourage friends to attend his classes just so they could hear him speak about war and politics.",5.0,4.0,"Nov 21st, 2010",311532
50,he is great i recomend him,4.5,4.0,"May 10th, 2008",311532
51,"Best professor at Princeton, in my opinion. Fantastic lecturer. Excellent preceptor.",5.0,3.0,"Jun 29th, 2006",311532
52,"Gary Bass is smart, but a little bit of a dick.",2.5,3.0,"Feb 23rd, 2006",311532
53,Brilliant,4.5,3.0,"Nov 18th, 2005",311532
54,He's amazing. Really wants his students to learn. And he's funny and smart as hell.,5.0,3.0,"Nov 18th, 2005",311532
55,"Great, funny guy who knows his stuff.",5.0,3.0,"Dec 5th, 2003",311532
56,Great Professor! Even though his class was super early in the morning I looked forward to it.,5.0,3.0,"Dec 6th, 2010",732429
57,"Really smart but yeah, mean.",2.0,4.0,"Jan 23rd, 2010",732429
58,He can be kind of callous.,3.5,5.0,"Jun 6th, 2009",732429
59,Hard work!,4.5,5.0,"Mar 30th, 2014",1887523
60,Bernasek is amazing! He's so nice and he's a good lecturer too!,5.0,2.0,"Apr 27th, 2012",1698391
61,"Professor Bialek is an incredible lecture! He can be very intimidating, but he is willing to help you if you need it! Every lecture that he gave would leave us all mind blown.",4.0,4.0,"Jan 29th, 2014",791066
62,awesome lecturer.,5.0,1.0,"Sep 6th, 2009",791066
63,"Best Lecturer of my 4 years at Princeton! Tough material and course, but he explains his mechanics and wave functions and entropy like the best of them!",4.5,3.0,"Jul 28th, 2009",791066
64,Big man with big brain. Perfomance is funny and extremely good.,5.0,3.0,"May 25th, 2009",791066
65,A very charismatic lecturer. Extremely helpful when you approach him personally for specific questions. A very generous grader as well.,4.5,4.0,"Jun 29th, 2008",791066
66,quite good,5.0,3.0,"May 2nd, 2007",791066
67,"Extremely good lecturer. Really knows what he is talking about, which makes for great clarity. His course is difficult, but awesome.",4.5,4.0,"Dec 6th, 2006",791066
68,"Awesome lecturer... Teaches some tough material, but very fascinating to listen to and learn from.",5.0,3.0,"Jan 24th, 2006",791066
69,A really great lecturer.,3.5,4.0,"Dec 31st, 2005",791066
70,"Her lectures lack any objectivity and balance of both sides of an issue. They are an ongoing, disorganized spewing of her opinions based on outdated references. She doesn't allow questions during class so there is no opportunity for a discussion that could lead to explorations of other ideas than hers. AWFUL",1.0,3.0,"Sep 27th, 2019",136441
71,"Professor Bogan is a hero among women. She is the successful lady economist of your dreams. She is a brilliant lecturer and patient and fair in office hours. Take all of her classes, fantastic for Public Economics and American Economic History.",5.0,4.0,"Oct 12th, 2018",136441
72,"I took 101 followed by 102, and I devised this strategy: Ignore the textbook. Go to lecture. (Though a friend did the opposite and got OK grades, too.) This was one of the unsung changed-my-life classes, not because it made me scrap my plans and become an economist but because I used it and thought about it every single day from then on.",4.0,3.0,"Jul 10th, 2018",136441
73,This course was better than previous. But she's still horrendous. Cannot believe I took her for this semester and the following.,1.0,1.0,"Nov 22nd, 2017",136441
74,"Fantastic professor, my favorite in Economics so far!",5.0,4.0,"Dec 12th, 2016",136441
75,"Bogan is a good lecturer and a helpful teacher. She's a lovely professor to have, but be ready for some less-than-perfectly written exams and a worthless textbook.",5.0,3.0,"May 30th, 2015",136441
76,"Professor Bogan is amazing.  She inspired me to become an Economics major - even though it was not an easy - and inspired me to pursue a career in business.  She is an great professor and advisor, as well as a tremendous role model for women pursuing a career in Economics, Finance and business.",5.0,4.0,"Oct 18th, 2013",136441
77,"She was my professor at FDU 28 years ago and was BY FAR the best professor I ever had, left me with a life long passion for economcis",5.0,4.0,"Dec 31st, 2012",136441
78,Love love love Bogan. Favorite Professor of all time. She is seriously smart. Changed my whole outlook in Princeton and after. My thesis was influenced by her love of monetary policy.,5.0,4.0,"Apr 13th, 2010",136441
79,"Beth Bogan made me love economics when I was dreading having to take it. Found her lectures crystal clear and interesting, and she's one of the most approachable professors I've ever had. Ended up taking a lot more econ. One of my absolute favorite profs ever.",5.0,4.0,"Dec 29th, 2009",136441
80,Boring but nice,4.0,1.0,"Nov 11th, 2009",136441
81,Took her class 25 years ago at a different school....she is who inspired me to go into economics and finance...,4.5,4.0,"Feb 6th, 2009",136441
82,"She's a bit boring, but definately well intentioned. Her  lecture slides which are available online are very good so you don't really have to go to class.",3.5,4.0,"Mar 11th, 2008",136441
83,"I took her course more than 10 years ago, and I'm still scarred.  While she keeps a good front by holding more office hours than most, she doesn't connect with most students.  Her lectures are notoriously unstructured, and you'll have a hard time following them if you're a novice.  She's well intentioned, but she's not an effective teacher.",2.0,4.0,"Feb 9th, 2008",136441
84,not good,1.0,5.0,"May 15th, 2007",136441
85,"Clear, but a little dry. Most office hours I've ever seen, from any professor, anywhere.  Really cares about students.",5.0,3.0,"Nov 27th, 2006",136441
86,"Great course, well taught, excellent lectures, precise and accurate testing",5.0,2.0,"Feb 22nd, 2006",136441
87,Fantastic teacher. Has the most office hours on campus,5.0,3.0,"Aug 14th, 2005",136441
88,takes a boring subject and makes it even more boring. zzz....,2.5,2.0,"Apr 10th, 2005",136441
89,"While some might describe her lectures as dull, they are right on the mark in terms of what you need to know, and should know, about the subject matter.  Makes herself extremely accessible.  Very straightforward courses, excellent teaching abilities.",5.0,3.0,"Jan 30th, 2005",136441
90,she aieet,3.5,4.0,"Mar 10th, 2014",1313378
91,"With a subject like Theology there is a mere interest among students. I do believe Dr. Bovon attempts to make his class as clear as possible. If you are looking for a challenge, as well as enlightenment, this is the class, as well as professor you should take.",3.5,3.0,"Apr 7th, 2011",328729
92,An inspiration to students!,5.0,3.0,"Feb 12th, 2018",1930223
93,"Chris's lectures are clear, well-paced, organized. The lecture notes he released are super helpful for homework and revision. He is a generous grader, and as long as you put work into it, you're likely to get the grade you aim for. He is also very approachable and welcomes questions in class.",4.0,3.0,"Aug 2nd, 2019",2518190
94,"This professor cares about his students. If you need any help after class, please ask!",5.0,3.0,"Jun 9th, 2019",2518190
