,Comments,Quality,Difficulty,Dates,TeacherID
0,Econ 14.32 Econometrics with this Professor is a smart choice.  You learn a lot. He is one of The Biggest Names and very respected for The Economics Department. I recomend instead taking Econ 14.30 Statistical Methods in Economics take better Math 18.440 Probability and Random Variables and Math 18.443 Statistics both are more strong Courses .,3.5,3.0,"Apr 25th, 2016",1823114
1,Professor Daron Acemoglu is one of The most cited Economics on The world. He is a great Professor but is very challenging. If you love Statistics dont have very Big Problems to Pass. The Exams are though but If you Study and have passion for one of The most important Courses in Economics Take it with him . This course depends so much from 14.30,2.5,4.0,"Apr 19th, 2016",1823114
2,Econ 14.32 Econometrics is one of The Best Courses that i took at Massachussetts Institute of Technology. Professor Daron Acemoglu madres The Econometrics understandable but you need a great Foundations in Econ 14.30 Statistical Methods in Economics. The Class is interesting and is not The worst If you compare it with Econ 14.126 Game Theory.,3.0,4.0,"Apr 15th, 2016",1823114
3,Econ 14.32 Econometrics with The Professor Daron Acemoglu Is not The Worst Experience but he Is Better than Joshua Angrist . Is difficult to understand Its language . The explanations of The material Is confusing. Econometrics Is not Mathematical Economics Is Based more in Statistics. I Like The Course but was so difficult The Language barrier.,2.0,4.0,"Apr 4th, 2016",1823114
4,great teacher and academic,3.5,5.0,"May 30th, 2013",1823114
5,"Fantastic Prof Exams are pretty difficult but after you see the amount of effort he puts in, you'll like to put the required effort to do good in these difficult exams.",5.0,4.0,"Aug 2nd, 2018",1177065
6,Profesor Alan Adams has a lot of enthusiasm teaching physics. The exams are a little hard and he don't accept assignments late .  He is an Expert in Quantum Mechanics at Graduate Level. I love so much its course .,4.0,3.0,"Apr 1st, 2017",1177065
7,Very clear understanding. Gives deep explanations of any question you ask him.,4.5,3.0,"Oct 6th, 2008",1177065
8,"Incredible professor! Easy to follow, inspiring lectures.",5.0,3.0,"Mar 4th, 2017",121092
9,The Best.,5.0,4.0,"Dec 19th, 2016",121092
10,He is a great teacher. Very good to see his lectures.,5.0,1.0,"Aug 30th, 2016",121092
11,He is gr8... Luv Him,4.5,4.0,"Jan 7th, 2016",121092
12,one of the best teachers i have ever seen !!,4.5,2.0,"Dec 16th, 2014",121092
13,excellant,5.0,1.0,"Aug 15th, 2014",121092
14,"Excellent Professor, Very clear and very practical, he does well at showing things in their nature state",5.0,2.0,"Jul 3rd, 2014",121092
15,He is my guru. The best teacher I have ever seen in my lyf. Love him.,5.0,3.0,"Aug 15th, 2013",121092
16,Excellent understanding of the fundamental concepts.,4.5,1.0,"May 1st, 2013",121092
17,Showed the way of life,4.5,3.0,"Mar 17th, 2013",121092
18,pretty hard class. quite fast paced. nedd sound knowledge of physics and fundamental electrical circuits to get ahead.,3.0,3.0,"Jul 24th, 2012",121092
19,need fist and second order DE  to solve electronic components(RCL) and circuits,3.0,5.0,"Jun 5th, 2012",121092
20,great.,5.0,1.0,"Jan 21st, 2012",121092
21,great,4.0,1.0,"May 21st, 2011",121092
